Didok number;Stop name;Date ;Public holiday;Weekday;Nationaler Feiertag;Service Typ;Service;Closed;From 1;until1;From 1;until3;From 1;until3;Company;Schlüssel;OPUIC
3000;Zürich HB;2024-05-20;Pfingstmontag;Monday;ja;2139;Aufgabezeiten für den Versand von Fluggepäck nach Flughafen Zürich;;08:30;19:00;;;;;SBB;3000-2024-05-20T00:00:00-2139;8503000
3000;Zürich HB;2024-05-09;Auffahrt;Thursday;ja;1100;Western Union;;08:00;20:00;;;;;SBB;3000-2024-05-09T00:00:00-1100;8503000
3000;Zürich HB;2024-04-01;Ostermontag;Monday;ja;100;Billette, Abonnemente, Freizeitangebote;;06:00;21:00;;;;;SBB;3000-2024-04-01T00:00:00-100;8503000
3000;Zürich HB;2024-04-01;Ostermontag;Monday;ja;900;Fundservice;;08:30;19:00;;;;;SBB;3000-2024-04-01T00:00:00-900;8503000
3000;Zürich HB;2024-03-29;Karfreitag;Friday;ja;500;Gepäck;;08:30;19:00;;;;;SBB;3000-2024-03-29T00:00:00-500;8503000
3001;Zürich Altstetten;2024-08-01;Bundesfeiertag;Thursday;ja;9999;Alle Services;ja;;;;;;;SBB;3001-2024-08-01T00:00:00-9999;8503001
3001;Zürich Altstetten;2024-05-09;Auffahrt;Thursday;ja;9999;Alle Services;ja;;;;;;;SBB;3001-2024-05-09T00:00:00-9999;8503001
3003;Zürich Stadelhofen;2024-03-29;Karfreitag;Friday;ja;9999;Alle Services;;06:45;18:45;;;;;SBB;3003-2024-03-29T00:00:00-9999;8503003
3006;Zürich Oerlikon;2024-05-09;Auffahrt;Thursday;ja;2104;Saisonal geschlossen;;08:00;18:00;;;;;SBB;3006-2024-05-09T00:00:00-2104;8503006
3006;Zürich Oerlikon;2024-05-09;Auffahrt;Thursday;ja;2137;Beratungstermin für Bahnreisen und Services;ja;;;;;;;SBB;3006-2024-05-09T00:00:00-2137;8503006
3010;Zürich Enge;2024-05-01;Tag der Arbeit;Wednesday;ja;9999;Alle Services;;09:30;12:00;13:00;17:30;;;SBB;3010-2024-05-01T00:00:00-9999;8503010
3016;Zürich Flughafen;2024-08-01;Bundesfeiertag;Thursday;ja;9999;Alle Services;;06:30;21:00;;;;;SBB;3016-2024-08-01T00:00:00-9999;8503016
3104;Meilen;2024-05-09;Auffahrt;Thursday;ja;9999;Alle Services;ja;;;;;;;SBB;3104-2024-05-09T00:00:00-9999;8503104
3107;Stäfa;2024-05-09;Auffahrt;Thursday;ja;9999;Alle Services;ja;;;;;;;SBB;3107-2024-05-09T00:00:00-9999;8503107
3110;Rapperswil;2024-08-01;Bundesfeiertag;Thursday;ja;9999;Alle Services;;08:00;17:00;;;;;SBB;3110-2024-08-01T00:00:00-9999;8503110
3110;Rapperswil;2024-04-01;Ostermontag;Monday;ja;9999;Alle Services;;08:00;17:00;;;;;SBB;3110-2024-04-01T00:00:00-9999;8503110
3110;Rapperswil;2024-03-29;Karfreitag;Friday;ja;9999;Alle Services;;08:00;17:00;;;;;SBB;3110-2024-03-29T00:00:00-9999;8503110
3116;Uznach;2024-05-08;Mittwoch vor Auffahrt;Wednesday;ja;9999;Alle Services;;08:00;12:00;13:00;16:00;;;SBB;3116-2024-05-08T00:00:00-9999;8503116
